incident_id,issue_description_oroginal,issue_description,category,final_category,priority,solution,resolution_time_hours,root_cause,customer_impact,assigned_agent,open_time,resolve_time
2913,Discord issue,discord issue,Discord,Discord,Low,Problem solved,0,Software Issue,No,3,03-10-2022,03-10-2022
2691,I need to install Discord on my new PC.,i need to install discord on my new pc.,Discord,Discord,Low,Discord Installed,48,Software Issue,No,1,08-10-2022,10-10-2022
3395,Discord disappeared from laptop after I updated Windows. I need it ASAP to communicate with sales department.,discord disappeared from laptop after i updated windows. i need it asap to communicate with sales department.,Discord,Discord,High,Discord Installed,0,Software Issue,Yes,3,17-10-2022,17-10-2022
2380,Discord is very slow while other applications are working normally. Please check.,discord is very slow while other applications are working normally. please check.,Discord,Discord,Medium,"Software updated, PC cleaned.",0,Software Issue,No,2,11-10-2022,11-10-2022
4999,Discor needed for instalation.,discor needed for instalation.,Discord,Discord,Low,Problem solved,0,Software Issue,No,2,04-10-2022,04-10-2022
1236,"I can't open Discord, it freezes every time I click on it. I tried to update it through our Software center but it still doesn't work.","i can't open discord, it freezes every time i click on it. i tried to update it through our software center but it still doesn't work.",Discord,Discord,Low,Discord installed.,0,Software Issue,No,2,19-10-2022,19-10-2022
4303,"Discord emojis aren't available to me, I would like to have it bak.","discord emojis aren't available to me, i would like to have it bak.",Discord,Discord,Low,Software plug-in installed.,0,Software Issue,No,3,21-10-2022,21-10-2022
4069,Installation needed.,installation needed.,Discord,Discord,Low,Software installed,0,Software Issue,No,1,10-10-2022,10-10-2022
2422,"Discord is freezing from time to time, and it doesn't give me notification sound when I get message, although sound is on in settings.","discord is freezing from time to time, and it doesn't give me notification sound when i get message, although sound is on in settings.",Discord,Discord,Low,"Software updated, PC cleaned.",24,Software Issue,No,1,25-10-2022,26-10-2022
4851,"Discord, discord, I needed it installed yesterday. Please prioritize.","discord, discord, i needed it installed yesterday. please prioritize.",Discord,Discord,High,Software installed,0,Software Issue,Yes,2,20-10-2022,20-10-2022
3824,"Please install Discord on my PC. I also have issues with Powerpoint and I need a new mouse. I don't want to follow stupid instructions of posting one problem per request. I'm very important person in my company and I want to have my problems prioritized. Don't have the whole day to chat with customer support. I would install all I need bymyself if I had admin rights, which I mentioned multiple times to CTO, but he obviously don't wnat to hear me. Feel free to forward him this!","please install discord on my pc. i also have issues with powerpoint and i need a new mouse. i don't want to follow stupid instructions of posting one problem per request. i'm very important person in my company and i want to have my problems prioritized. don't have the whole day to chat with customer support. i would install all i need bymyself if i had admin rights, which i mentioned multiple times to cto, but he obviously don't wnat to hear me. feel free to forward him this!",Discord,Discord,High,Software installed,0,Software Issue,Yes,2,18-10-2022,18-10-2022
3156,"Can't add people to Discord groups, nor make new Discord channels. Please help me.","can't add people to discord groups, nor make new discord channels. please help me.",Discord,Discord,Low,Software updated,0,Software Issue,No,3,05-10-2022,05-10-2022
3641,Discord ist mir sehr wichtig und ich kann es nicht länger als 3 Tage nutzen. Bitte lösen Sie dies so schnell wie möglich.,discord ist mir sehr wichtig und ich kann es nicht länger als 3 tage nutzen. bitte lösen sie dies so schnell wie möglich.,Discord,Discord,Low,Software reinstalled,0,Software Issue,No,3,05-10-2022,05-10-2022
3122,Why I don't have Discord on the new laptop I ordered when I asked for it? Please install Discord on my pc.,why i don't have discord on the new laptop i ordered when i asked for it? please install discord on my pc.,Discord,Discord,Low,Software installed,0,Software Issue,No,3,25-10-2022,25-10-2022
1925,"Ich kann meine Kollegen nicht hören, während ich auf Discord spreche, während ich die Musik auf meinem PC hören kann. Bitte beheben Sie dies.","ich kann meine kollegen nicht hören, während ich auf discord spreche, während ich die musik auf meinem pc hören kann. bitte beheben sie dies.",Discord,Discord,Low,Problem solved,0,Software Issue,No,1,07-10-2022,07-10-2022
2220,,,Discord,Discord,Low,Software installed,0,Software Issue,No,1,19-10-2022,19-10-2022
1308,"Asana ist das beste Tool für das Projektmanagement, es hilft mir sehr, also bitte installieren Sie es auf meinem neuen Laptop. Ich habe es bereits auf dem Schreibtischcomputer.","asana ist das beste tool für das projektmanagement, es hilft mir sehr, also bitte installieren sie es auf meinem neuen laptop. ich habe es bereits auf dem schreibtischcomputer.",Asana,Asana,Low,Software installed,0,Software Issue,No,1,03-10-2022,03-10-2022
1089,Bitte installieren Sie Asana erneut auf meinem PC. Nach dem letzten Windows#Update funktioniert es nicht mehr.,bitte installieren sie asana erneut auf meinem pc. nach dem letzten windows#update funktioniert es nicht mehr.,Asana,Asana,Low,Asana installed,0,Software Issue,No,1,17-10-2022,17-10-2022
1054,Ne mogu ozna?iti zadatak kao izvršen u Asani. Molim vas da poduzmete nešto što prije kako bih mogao nastaviti dijelovati.,ne mogu ozna?iti zadatak kao izvršen u asani. molim vas da poduzmete nešto što prije kako bih mogao nastaviti dijelovati.,Asana,Asana,Low,"Asana updated, PC cleaned.",0,Software Issue,No,3,21-10-2022,21-10-2022
1355,Why Asana isn't working again?! Please make Asana works on my PC so I can do my work as PM.,why asana isn't working again?! please make asana works on my pc so i can do my work as pm.,Asana,Asana,Low,"Asana updated, PC cleaned.",0,Software Issue,No,1,10-10-2022,10-10-2022
3203,"Please update Asana on my PC. I have it installed, but new version is available and I can't do the update.","please update asana on my pc. i have it installed, but new version is available and i can't do the update.",Asana,Asana,Low,Software updated,0,Software Issue,No,2,24-10-2022,24-10-2022
1247,Asana stopped to work after I restarted my PC.,asana stopped to work after i restarted my pc.,Asana,Asana,Low,Asana reinstalled,48,Software Issue,No,3,11-10-2022,13-10-2022
